project,Description,Update,Contact,Acres subject to any logging,Longitude,Latitude,Other,Litigation,Paused or ongoing,Sent to review,Amount of old growth
"Burnt Corral Project (Kaibab National Forest, AZ)","The Forest Service proposes mechanical thinning on 17,765 acres of forest on the north rim of the Grand Canyon. The project would log old and large, fire-resistant trees across 15,000 acres.",the FS has removed the 1000 acre old forest clearcutting portions of the proposal.,"Brian Nowicki, Center for Biological Diversity (bnowicki@biologicaldiversity.org)",17765.00,-112.0053333,36.12266618,:,,,,
"Bear Country Project (Klamath National Forest, CA)","Roughly 2,000 acres of commercial logging within Eddy Gulch Late Successional Reserve. The project would also permanently remove 923 acres of northern spotted owl (NSO) habitat in some of the only unburned forest stands in the region, home to one of the only reproductive pairs in the entire Klamath National Forest.","The project has been approved by the Klamath National Forest and due to the efforts of numerous conservation partners is currently being reviewed By Deputy Chief Christopher French under the National Old-Growth Amendment. The outcome of that review and the potential for moving this project forward is currently unknown, but community involvement, public input and advocacy efforts are still needed. If the review fails to protect these forests, the threat of logging is imminent. Luke Ruediger, Klamath Forest Alliance (siskiyoucrest@gmail.com)",,2000.00,-120.4863474,38.98644004,:,,,,
"South Fork Project (Klamath National Forest, CA)","The project proposes logging 2,455 acres, including mature and old-growth trees. It’s directly upstream from the Klamath National Forest's Bear Country Project, which also targets old forest with industrial logging. The cumulative harm to the ecosystem from these projects would be severe. The South Fork Project area is extremely remote, highly biodiverse and functions as an important wildlife connectivity corridor for old forest-dependent animals living between the Trinity Alps and Russian wilderness areas. Luke Ruediger, Klamath Forest Alliance (siskiyoucrest@gmail.com)",,,2455.00,-120.4863474,38.98644004,:,,,,
"Dead Laundry Project (Nez Perce-Clearwater National Forest, ID)","The project proposes logging 3,838 acres of trees with commercial “regeneration harvest,” meaning clearcuts and variations of clearcuts,  many greater than 40 acres, or larger than 40 football fields.  Logging will include cutting trees more than 20 inches in diameter and cutting mature trees in designated old-growth stands.  Much of the mature forest logging will occur in unfragmented roadless areas. The Forest Service plans to build or “reconstruct” more than 200 miles of roads in this remote area, including bulldozing logging roads through old growth stands.","The Forest Service rescinded and then reissued its draft decision where it made some changes, but still proposes effectively clearcut 2,057 acres, including 14 openings that exceed 40 acres in size (44-432 acres). The Forest Service dropped commercial logging within old growth stands, but still proposes an unspecified amount of non-commercial removal within three old growth units.",Adam Rissien (arissien@wildearthguardians.org),3838.00,-115.8137273,45.764465,:,,,,
"South Red Bird Wildlife Enhancement Project (Daniel Boone National Forest, KY)","This is the largest timber sale proposed in the national forest in nearly 20 years. It would clearcut more than 3,800 acres of public lands, removing 80% to 90% of the trees across 2,800 acres and nearly one-quarter of all forests more than 100 years old.",This project is currently under litigation.,"Whitney Hamblin, Kentucky Heartwood (whitney@kyheartwood.org)",3800.00,-83.58006022,37.14360869,:,,,,
"Jellico Vegetation Management Project (Daniel Boone National Forest, KY)","This project is proposed to last for 40 years and clearcut almost 10,000 acres of forest, home to mature and old growth and designated critical habitat for endangered species. These mountains have steep slopes with coal seams. The biggest threat to this area is the risk of landslides and extreme flooding events that have already caused damage to the local community in the last few years.",,"Whitney Hamblin, Kentucky Heartwood (whitney@kyheartwood.org)",10000.00,-83.58006022,37.14360869,:,,,,
"Black Ram Project (Kootenai National Forest, MT)","This 95,412 acre project area, located in the remote NW corner of the Yaak River Valley, threatens old-growth forests, endangered species, and ecosystem function. Timber harvest is proposed in 4,000 acres of mature and old-growth. USFS silviculturists estimated the large western larch within the area to be 600 years old. The recognized old-growth spruce in the area exceeds 200 years old. ","In August of 2023, the Black Ram project was granted a reprieve by U.S. District Judge Donald Molloy for violating at least six laws. The USFS appealed the decision in March, 2024.","Adam Rissien, WildEarth Guardians (arissien@wildearthguardians.org)",4000.00,-115.03836,48.35442,:,,,,
"South Plateau Project (Custer Gallatin National Forest, MT)","The project will collectively clearcut more than 5,500 acres of mature lodgepole pine, most of the trees 90 years and older, across lands near the western boundary of Yellowstone National Park. The 15-year project proposes hundreds of clearcuts, each potentially as large as 30 football fields, and up to 57 miles of new logging roads. Up to 6,600 acres of mature lodgepole could also be thinned, which could  include bulldozing roads through old-growth lodgepole pine stands. ","Conservation groups filed two separate lawsuits to stop the project that were consolidated in March 2024, in part for the agency’s failure to comply with the National Environmental Policy Act, and for violating the Endangered Species Act as it applies to grizzly bears and Canada lynx, among other claims.","Adam Rissien, WildEarth Guardians (arissien@wildearthguardians.org)",5500.00,-110.259565,45.73632,:,,,,
"Bitterroot Front Project (Bitterroot Forest, MT)","The project will include commercial logging of 54,883 acres of potential commercial timber logging, including 13,245 acres identified as roadless. Most of the remaining acres include mature and old-growth forest, identified as roadless in the 1987 forest plan, have not been commercially logged for more than 80 years. To facilitate this and other logging projects, the Forest Service has proposed weakening the standards defining old growth.","The Forest Service announced it received an Emergency Action Determination (EAD) under section 40807 of the Infrastructure Investment and Jobs Act (PL 117-58), which means it can issue a final decision, skipping the normal objection period. In its August 2023 analysis, the Forest Service updated its proposed action where it now plans 27,477 acres of commercial harvest, including an unspecified amount in mature and old growth stands, and an unspecified amount within Inventoried Roadless Areas.","Adam Rissien, WildEarth Guardians (arissien@wildearthguardians.org)",54883.00,-114.259347,45.815253,:,,,,
"Buck Project (Nantahala National Forest, NC)","At around 800 acres of regeneration harvest, this is one of the largest timber sales in recent memory in North Carolina. The project aims to create young forest for wildlife habitat through commercial logging, including 150 acres of forest over 100 years old.","Local advocates recently filed suit over this and other projects for failure to adequately consider climate impacts. The case is Chattooga Conservancy v. U.S. Dep’t of Ag., No. 1:24-CV-00518 (D.D.C).","Patrick Hunter, Southern Environmental Law Center (phunter@selcnc.org)",800.00,-83.661393,35.210174,:,,,,
